Date	Holiday	Holiday	Holiday	Holiday	Holiday	Holiday	Holiday	Holiday	Holiday	Holiday	Holiday	Holiday	Holiday	Holiday	Holiday
January Full Month	Dry January	Veganuary	National Soup Month	National Baking Month	Bread Machine Baking Month	National Wheat Bread Month	National Hot Tea Month	National Citrus Month	National Meat Month	National Oatmeal Month	National Slow Cooking Month	National Sunday Supper Month	Prune Breakfast Month (also called National Dried Plum Breakfast Month).		
January 1	New Year’s Day	Apple Gifting Day	National Bloody Mary Day	National Black Eyed Pea Day											
January 2	National Buffet Day	Swiss Cheese Day	National Cream Puff Day												
January 3	National Chocolate Covered Cherry Day	Fruitcake Toss Day													
January 4	National Spaghetti Day														
January 5	National Whipped Cream Day	National Keto Day													
January 6	National Bean Day	National Shortbread Day	Apple Tree Day												
January 7	National Tempura Day														
January 8	National English Toffee Day														
January 9	National Apricot Day	National Cassoulet Day													
January 10	National Bittersweet Chocolate Day	National Oysters Rockefeller Day													
January 11	National Hot Toddy Day	National Milk Day													
January 12	National Marzipan Day	National Curried Chicken Day	National Glazed Doughnut Day	National Hot Tea Day											
January 13	National Gluten-Free Day (second Monday of January)	National Peach Melba Day													
January 14	National Hot Pastrami Sandwich Day														
January 15	National Bagel Day	National Fresh Squeezed Juice Day	National Strawberry Ice Cream Day	National Booch Day (also Kombucha Day)											
January 16	International Hot and Spicy Food Day	National Fig Newton Day	National Quinoa Day												
January 17	National Hot Buttered Rum Day														
January 18	National Peking Duck Day	National Gourmet Coffee Day	National Soup Swap Day (third Saturday of January)												
January 19	National Popcorn Day														
January 20	National Cheese Lover’s Day	National Coffee Break Day	National Buttercrunch Day												
January 21	National Granola Bar Day	Rid the World of Fad Diets & Gimmicks Day (third Tuesday of January)	National New England Clam Chowder Day												
January 22	National Blonde Brownie Day	National Hot Sauce Day	National Southern Food Day												
January 23	National Pie Day	National Rhubarb Pie Day	International Sticky Toffee Pudding Day												
January 24	National Peanut Butter Day	National Lobster Thermidor Day													
January 25	National Irish Coffee Day	National Fish Taco Day													
January 26	National Green Juice Day	National Peanut Brittle Day													
January 27	National Chocolate Cake Day	International Port Wine Day													
January 28	National Blueberry Pancake Day														
January 29	National Corn Chip Day														
January 30	National Croissant Day														
January 31	National Hot Chocolate Day	National Brandy Alexander Day	Eat Brussels Sprouts Day												
February Full Month	National Chocolate Month	National Cherry Month	National Grapefruit Month	National Hot Breakfast Month	National Snack Food Month	National Bake For Family Fun Month	National Canned Food Month	National Potato Lover’s Month	National Sweet Potato Month.						
February 1	National Baked Alaska Day	National Dark Chocolate Day	Ice Cream for Breakfast Day (first Saturday in February)												
February 2	National Tater Tot Day	National Heavenly Hash Day													
February 3	National Carrot Cake Day														
February 4	National Homemade Soup Day	National Stuffed Mushroom Day													
February 5	World Nutella Day	National Chocolate Fondue Day	National Bubble Gum Day (first Friday in February)												
February 6	National Chopsticks Day														
February 7	National Fettuccine Alfredo Day														
February 8	National Molasses Bar Day	National Potato Lover’s Day													
February 9	National Pizza Day	National Bagels and Lox Day													
February 10	National Cream Cheese Brownie Day	Oatmeal Monday (second Monday in February)													
February 11	National Peppermint Patty Day	Don’t Cry Over Spilled Milk Day													
February 12	National Plum Pudding Day														
February 13	National Tortellini Day	National Italian Food Day													
February 14	National Cream Filled Chocolates Day	Valentine’s Day													
February 15	National Gumdrop Day														
February 16	National Almond Day														
February 17	National Cafe Au Lait Day														
February 18	National Drink Wine Day														
February 19	National Chocolate Mint Day														
February 20	National Muffin Day	National Cherry Pie Day													
February 21	National Sticky Bun Day														
February 22	National Margarita Day	National Cook a Sweet Potato Day													
February 23	National Banana Bread Day														
February 24	National Tortilla Chip Day														
